Rank,Model,Best,Avg,Bedrock Input $/M,Bedrock Output $/M
1,anthropic/claude-opus-4.6,87.40%,81.90%,$5.00 ,$25.00
2,anthropic/claude-sonnet-4,80.50%,80.50%,$3.00 ,$15.00
3,anthropic/claude-sonnet-4.5,88.20%,80.10%,$3.00 ,$15.00
4,minimax/minimax-m2.1,84.30%,79.70%,$0.30 ,$1.20
5,anthropic/claude-sonnet-4.6,86.90%,79.20%,$3.00 ,$15.00
6,qwen/qwen3-coder-next,79.10%,79.10%,$0.50 ,$1.20
7,moonshotai/kimi-k2.5,84.80%,78.50%,$0.60 ,$3.00
8,anthropic/claude-opus-4.5,85.40%,78.40%,$5.00 ,$25.00
9,minimax/minimax-m2.5,86.60%,78.10%,$0.30 ,$1.20
10,nvidia/nemotron-3-super-120b-a12b,85.60%,76.80%,$0.15 ,$0.65
11,anthropic/claude-haiku-4.5,82.00%,76.00%,$1.00 ,$5.00
12,mistralai/devstral-2512,82.00%,74.40%,$0.40 ,$2.00
13,deepseek/deepseek-v3.2,81.90%,68.10%,$0.62 ,$1.85
14,mistralai/mistral-large-2512,70.00%,64.10%,$0.50 ,$1.50
